,0,1,2,3,4
27,[2330.23083502 2292.67076424 4164.16717734 1212.9712234 ],[2331.22083502 2293.66076424 4165.15717734 1213.9612234 ],"[[ 5.79746048e-01 -1.41873924e+00  1.80832389e-01 -1.10930560e+00]
 [-4.09336701e-01 -1.06333440e-03 -1.19706666e-01 -3.94411184e-01]
 [ 5.51703831e-01  1.41077140e+00  2.54597802e-01  1.85359679e+00]]","[[[ 1.49431983e-04  2.60371054e-04  1.12744102e-04  1.88098944e-04]
  [ 1.34812748e-04 -5.81550713e-05  8.71891747e-05  3.29431448e-04]
  [-5.22593399e-05  2.55417753e-04 -4.76477180e-05  1.56904560e-04]]

 [[ 1.34812748e-04 -5.81550713e-05  8.71891747e-05  3.29431448e-04]
  [ 4.82777470e-04  9.63482817e-04  2.84140089e-04  9.86766240e-04]
  [ 1.44918804e-04 -6.05059490e-05  8.16057049e-05  3.06630173e-04]]

 [[-5.22593399e-05  2.55417753e-04 -4.76477180e-05  1.56904560e-04]
  [ 1.44918804e-04 -6.05059490e-05  8.16057049e-05  3.06630173e-04]
  [ 1.59823586e-04  2.69055017e-04  1.06323207e-04  1.85111882e-04]]]",[2333.22083502 2295.66076424 4167.15717734 1215.9612234 ]
28,[2332.66890604 2356.97591398 4171.39958993 1138.99559006],[2333.65890604 2357.96591398 4172.38958993 1139.98559006],"[[ 5.82043590e-01 -1.41445581e+00  1.72718076e-01 -1.08751274e+00]
 [-4.06105973e-01 -1.97960078e-04 -1.14371902e-01 -4.46239326e-01]
 [ 5.43921309e-01  1.40121448e+00  2.49451897e-01  1.94603835e+00]]","[[[ 1.49688775e-04  2.56614581e-04  1.11874498e-04  1.99359463e-04]
  [ 1.33226439e-04 -6.78215754e-05  8.75381435e-05  3.53048807e-04]
  [-5.36871710e-05  2.51873119e-04 -4.64812900e-05  1.64323429e-04]]

 [[ 1.33226439e-04 -6.78215754e-05  8.75381435e-05  3.53048807e-04]
  [ 4.81765986e-04  9.64174659e-04  2.84127619e-04  1.04227496e-03]
  [ 1.45427115e-04 -7.04534809e-05  8.14161127e-05  3.25410703e-04]]

 [[-5.36871710e-05  2.51873119e-04 -4.64812900e-05  1.64323429e-04]
  [ 1.45427115e-04 -7.04534809e-05  8.14161127e-05  3.25410703e-04]
  [ 1.61485549e-04  2.65172494e-04  1.05059126e-04  1.95600061e-04]]]",[2335.65890604 2359.96591398 4174.38958993 1141.98559006]
29,[2332.74790551 2406.30900896 4175.42937495 1085.55371058],[2333.73790551 2407.29900896 4176.41937495 1086.54371058],"[[ 5.83508738e-01 -1.40174757e+00  1.63950175e-01 -1.07506467e+00]
 [-4.02475311e-01 -8.40698174e-05 -1.08419614e-01 -4.98654664e-01]
 [ 5.36270492e-01  1.38566005e+00  2.43289036e-01  2.05175277e+00]]","[[[ 1.50088432e-04  2.50053847e-04  1.11298070e-04  2.08502084e-04]
  [ 1.31853329e-04 -6.68303853e-05  8.79925400e-05  3.72246470e-04]
  [-5.51052392e-05  2.45370883e-04 -4.55550821e-05  1.69972924e-04]]

 [[ 1.31853329e-04 -6.68303853e-05  8.79925400e-05  3.72246470e-04]
  [ 4.81357577e-04  9.48107328e-04  2.84413581e-04  1.08900475e-03]
  [ 1.46116819e-04 -6.94897382e-05  8.12719970e-05  3.39282119e-04]]

 [[-5.51052392e-05  2.45370883e-04 -4.55550821e-05  1.69972924e-04]
  [ 1.46116819e-04 -6.94897382e-05  8.12719970e-05  3.39282119e-04]
  [ 1.63248499e-04  2.58323064e-04  1.04056330e-04  2.04451147e-04]]]",[2335.73790551 2409.29900896 4178.41937495 1088.54371058]
30,[2332.22558943 2446.29245498 4178.74326691 1042.77868869],[2333.21558943 2447.28245498 4179.73326691 1043.76868869],"[[ 5.83679560e-01 -1.38144972e+00  1.54401127e-01 -1.07538889e+00]
 [-3.98115306e-01 -1.88630885e-04 -1.01737219e-01 -5.55204649e-01]
 [ 5.28006119e-01  1.36344857e+00  2.35932643e-01  2.18226280e+00]]","[[[ 1.50417252e-04  2.43505779e-04  1.10845226e-04  2.16569680e-04]
  [ 1.30549327e-04 -6.24740223e-05  8.84705590e-05  3.89368078e-04]
  [-5.63818306e-05  2.38818662e-04 -4.47466523e-05  1.74603643e-04]]

 [[ 1.30549327e-04 -6.24740223e-05  8.84705590e-05  3.89368078e-04]
  [ 4.81044218e-04  9.27221801e-04  2.84743768e-04  1.13354274e-03]
  [ 1.46857456e-04 -6.50603974e-05  8.11227202e-05  3.49847014e-04]]

 [[-5.63818306e-05  2.38818662e-04 -4.47466523e-05  1.74603643e-04]
  [ 1.46857456e-04 -6.50603974e-05  8.11227202e-05  3.49847014e-04]
  [ 1.64900503e-04  2.51434499e-04  1.03167159e-04  2.12855735e-04]]]",[2335.21558943 2449.28245498 4181.73326691 1045.76868869]
31,[2331.59964088 2479.3650711  4182.108822   1006.96646603],[2332.58964088 2480.3550711  4183.098822   1007.95646603],"[[ 5.81760469e-01 -1.35188553e+00  1.43625382e-01 -1.09201205e+00]
 [-3.92358242e-01 -3.76173825e-04 -9.39179589e-02 -6.20144064e-01]
 [ 5.18080433e-01  1.33214093e+00  2.26863667e-01  2.35224867e+00]]","[[[ 1.50610383e-04  2.37745119e-04  1.10442215e-04  2.23972218e-04]
  [ 1.29282979e-04 -5.74650270e-05  8.89499648e-05  4.05442955e-04]
  [-5.74714537e-05  2.33032740e-04 -4.39984925e-05  1.78436682e-04]]

 [[ 1.29282979e-04 -5.74650270e-05  8.89499648e-05  4.05442955e-04]
  [ 4.80712719e-04  9.06437447e-04  2.85056600e-04  1.17903909e-03]
  [ 1.47613010e-04 -5.99691804e-05  8.09561386e-05  3.57081663e-04]]

 [[-5.74714537e-05  2.33032740e-04 -4.39984925e-05  1.78436682e-04]
  [ 1.47613010e-04 -5.99691804e-05  8.09561386e-05  3.57081663e-04]
  [ 1.66370129e-04  2.45334202e-04  1.02330408e-04  2.21727753e-04]]]",[2334.58964088 2482.3550711  4185.098822   1009.95646603]
32,[2330.70586568 2506.05325506 4185.37036074  977.91051852],[2331.69586568 2507.04325506 4186.36036074  978.90051852],"[[ 5.76406007e-01 -1.30898737e+00  1.30747041e-01 -1.12955188e+00]
 [-3.84114787e-01 -6.97335804e-04 -8.42159986e-02 -6.98890741e-01]
 [ 5.04997075e-01  1.28721952e+00  2.15168257e-01  2.58169491e+00]]","[[[ 1.50671146e-04  2.32902414e-04  1.10060735e-04  2.30556551e-04]
  [ 1.28090030e-04 -5.26343162e-05  8.94456533e-05  4.20373194e-04]
  [-5.83643639e-05  2.28164248e-04 -4.32814560e-05  1.81195952e-04]]

 [[ 1.28090030e-04 -5.26343162e-05  8.94456533e-05  4.20373194e-04]
  [ 4.80465500e-04  8.87535508e-04  2.85396480e-04  1.22665514e-03]
  [ 1.48391068e-04 -5.51163146e-05  8.07767813e-05  3.58899382e-04]]

 [[-5.83643639e-05  2.28164248e-04 -4.32814560e-05  1.81195952e-04]
  [ 1.48391068e-04 -5.51163146e-05  8.07767813e-05  3.58899382e-04]
  [ 1.67648272e-04  2.40179583e-04  1.01524505e-04  2.32333997e-04]]]",[2333.69586568 2509.04325506 4188.36036074  980.90051852]
33,[2328.62394981 2524.78808091 4187.25758697  959.37038232],[2329.61394981 2525.77808091 4188.24758697  960.36038232],"[[ 5.65228675e-01 -1.24494555e+00  1.14082223e-01 -1.19347087e+00]
 [-3.71551015e-01 -1.43586597e-03 -7.12746200e-02 -7.98010092e-01]
 [ 4.86476653e-01  1.22065888e+00  1.99262456e-01  2.89644623e+00]]","[[[ 1.50659208e-04  2.29047838e-04  1.09711616e-04  2.35192498e-04]
  [ 1.27088471e-04 -4.81271631e-05  9.00195095e-05  4.32274774e-04]
  [-5.90775319e-05  2.24308137e-04 -4.25872206e-05  1.81717850e-04]]

 [[ 1.27088471e-04 -4.81271631e-05  9.00195095e-05  4.32274774e-04]
  [ 4.80647272e-04  8.71381232e-04  2.85931655e-04  1.27577430e-03]
  [ 1.49236170e-04 -5.07518624e-05  8.06042273e-05  3.48631355e-04]]

 [[-5.90775319e-05  2.24308137e-04 -4.25872206e-05  1.81717850e-04]
  [ 1.49236170e-04 -5.07518624e-05  8.06042273e-05  3.48631355e-04]
  [ 1.68785604e-04  2.36088947e-04  1.00763966e-04  2.47778495e-04]]]",[2331.61394981 2527.77808091 4190.24758697  962.36038232]
34,[2322.47273505 2528.45621474 4183.3659923   965.74505791],[2323.46273505 2529.44621474 4184.3559923   966.73505791],"[[ 0.54385029 -1.14541803  0.09034426 -1.28310675]
 [-0.35145375 -0.00336428 -0.05254029 -0.91973842]
 [ 0.45899519  1.11863599  0.17637623  3.30866269]]","[[[ 1.50761475e-04  2.26755697e-04  1.09498717e-04  2.33977268e-04]
  [ 1.26583906e-04 -4.38959945e-05  9.08454663e-05  4.34186759e-04]
  [-5.96987960e-05  2.22116100e-04 -4.19565271e-05  1.76509293e-04]]

 [[ 1.26583906e-04 -4.38959945e-05  9.08454663e-05  4.34186759e-04]
  [ 4.82177091e-04  8.59720931e-04  2.87142367e-04  1.32172341e-03]
  [ 1.50282329e-04 -4.70636840e-05  8.05022782e-05  3.05305800e-04]]

 [[-5.96987960e-05  2.22116100e-04 -4.19565271e-05  1.76509293e-04]
  [ 1.50282329e-04 -4.70636840e-05  8.05022782e-05  3.05305800e-04]
  [ 1.70000961e-04  2.33825558e-04  1.00157153e-04  2.78618943e-04]]]",[2325.46273505 2531.44621474 4186.3559923   968.73505791]
35,[2303.47725469 2492.049379   4158.99777152 1045.51559479],[2304.46725469 2493.039379   4159.98777152 1046.50559479],"[[ 0.50498289 -0.98472833  0.05377142 -1.36500715]
 [-0.31804248 -0.00750052 -0.02312048 -1.038018  ]
 [ 0.41655317  0.95783281  0.14111503  3.7245134 ]]","[[[ 1.51492127e-04  2.28629715e-04  1.09799423e-04  2.16372791e-04]
  [ 1.27327245e-04 -3.98179720e-05  9.23937293e-05  4.06359058e-04]
  [-6.04729382e-05  2.24398929e-04 -4.15544095e-05  1.57751228e-04]]

 [[ 1.27327245e-04 -3.98179720e-05  9.23937293e-05  4.06359058e-04]
  [ 4.87610730e-04  8.58270066e-04  2.90455781e-04  1.34613508e-03]
  [ 1.52007124e-04 -4.43213594e-05  8.07187178e-05  1.74008262e-04]]

 [[-6.04729382e-05  2.24398929e-04 -4.15544095e-05  1.57751228e-04]
  [ 1.52007124e-04 -4.43213594e-05  8.07187178e-05  1.74008262e-04]
  [ 1.71953486e-04  2.36565253e-04  1.00071788e-04  3.57119943e-04]]]",[2306.46725469 2495.039379   4161.98777152 1048.50559479]
36,[2255.51240541 2364.41097938 4084.35725593 1295.75935928],[2256.50240541 2365.40097938 4085.34725593 1296.74935928],"[[ 4.43438385e-01 -7.11675148e-01 -1.44747554e-03 -1.39376077e+00]
 [-2.62612202e-01 -9.65517392e-03  2.52495975e-02 -1.09644942e+00]
 [ 3.45389068e-01  6.83423138e-01  8.01445148e-02  3.94004418e+00]]","[[[ 1.53687586e-04  2.39669147e-04  1.11358770e-04  1.74374474e-04]
  [ 1.30787869e-04 -3.46810540e-05  9.56309613e-05  3.32808222e-04]
  [-6.14207601e-05  2.36156926e-04 -4.15352816e-05  1.22692862e-04]]

 [[ 1.30787869e-04 -3.46810540e-05  9.56309613e-05  3.32808222e-04]
  [ 5.01567577e-04  8.81711796e-04  2.98669133e-04  1.25217723e-03]
  [ 1.55124184e-04 -4.10652777e-05  8.17036404e-05 -9.31041472e-06]]

 [[-6.14207601e-05  2.36156926e-04 -4.15352816e-05  1.22692862e-04]
  [ 1.55124184e-04 -4.10652777e-05  8.17036404e-05 -9.31041472e-06]
  [ 1.75088332e-04  2.49678019e-04  1.00921183e-04  4.38523228e-04]]]",[2258.50240541 2367.40097938 4087.34725593 1298.74935928]
