,0,1,2,3,4,5,6,7,8,9,10,11
10,[-2.93189592  2.1539009  -2.96026074],"[ 2.08693061 -0.11551885  0.33222179 -0.11551885  0.41284411  0.08630154
  0.33222179  0.08630154  1.27275905]",[0.17824958],[ 3.82829239  0.22123823 -4.8304176 ],"[ 8.65604597 -1.61397889 -0.84068388 -1.61397889  0.87661947  0.16731064
 -0.84068388  0.16731064  1.04046439]",[0.12214497],[ 2.95979944 -1.99536553  3.02213292],"[1.98412156 0.01175744 0.01277245 0.01175744 0.48903845 0.00909205
 0.01277245 0.00909205 1.97451622]",[0.3958081],[-4.49679677  0.6103337   2.31981166],"[ 1.64767245  0.6461344  -2.76601045  0.6461344   1.24463174 -3.28962536
 -2.76601045 -3.28962536 15.530583  ]",[0.30379735]
11,[-2.9916961  2.1157642 -3.0481144],"[ 2.02675879 -0.08238623  0.33615907 -0.08238623  0.42623328  0.09073268
  0.33615907  0.09073268  1.3869549 ]",[0.20760215],[ 4.32852557  0.11966096 -4.88431679],"[ 5.38937703 -0.96761702 -0.49645181 -0.96761702  0.75210598  0.09881435
 -0.49645181  0.09881435  1.00885477]",[0.11394334],[ 2.9601092  -1.99543333  3.02218258],"[1.98255267 0.01197129 0.01303119 0.01197129 0.48898959 0.00918005
 0.01303119 0.00918005 1.97422539]",[0.39577572],[-4.57504564  0.50751342  2.74688057],"[ 1.59562023  0.57091201 -2.51076266  0.57091201  1.15673877 -2.8984777
 -2.51076266 -2.8984777  13.92555021]",[0.28267879]
12,[-2.99866124  2.08018971 -3.11874622],"[ 2.00878191 -0.07577195  0.2798078  -0.07577195  0.4455766   0.09151599
  0.2798078   0.09151599  1.50833318]",[0.23476975],[ 4.80075804  0.0136402  -4.93556665],"[ 2.44037276 -0.31889302 -0.18511847 -0.31889302  0.61020813  0.0340819
 -0.18511847  0.0340819   0.97355911]",[0.10605184],[ 2.96031488 -1.99547818  3.02223103],"[1.98144607 0.01210007 0.01326261 0.01210007 0.48895792 0.00924741
 0.01326261 0.00924741 1.97394969]",[0.39575233],[-4.65516046  0.40426501  3.19945188],"[ 1.52442164  0.48404111 -2.165106    0.48404111  1.0503644  -2.41538868
 -2.165106   -2.41538868 11.76348323]",[0.26342609]
13,[-2.98919814  2.05410869 -3.1590891 ],"[ 2.03954517 -0.08112525  0.20339723 -0.08112525  0.46154159  0.0815055
  0.20339723  0.0815055   1.63238162]",[0.25785419],[ 5.0366817  -0.04587328 -4.9633577 ],"[ 1.12004558  0.01149286 -0.0410795   0.01149286  0.52974487 -0.0015038
 -0.0410795  -0.0015038   0.95070248]",[0.10177111],[ 2.96043944 -1.99550891  3.02227511],"[1.98070327 0.01215966 0.01349681 0.01215966 0.48893508 0.00930626
 0.01349681 0.00930626 1.97367839]",[0.39573575],[-4.75381393  0.29142232  3.70729741],"[ 1.39719817  0.36015208 -1.60538769  0.36015208  0.91203857 -1.78152267
 -1.60538769 -1.78152267  8.82669289]",[0.24463895]
14,[-3.00528007  2.03538418 -3.14989229],"[ 2.03429003 -0.0738861   0.15192132 -0.0738861   0.47202325  0.05706332
  0.15192132  0.05706332  1.73403972]",[0.27694499],[ 5.06324123 -0.05317134 -4.96988605],"[ 1.00740159  0.04272227 -0.0159829   0.04272227  0.52290771 -0.01037528
 -0.0159829  -0.01037528  0.94331133]",[0.10114859],[ 2.96046934 -1.99549671  3.02222403],"[1.98046261 0.01209405 0.01372589 0.01209405 0.48896184 0.00926776
 0.01372589 0.00926776 1.97371317]",[0.39573522],[-4.8680351   0.16787312  4.25476037],"[ 1.22301207  0.19873459 -0.87326889  0.19873459  0.74025815 -1.00916464
 -0.87326889 -1.00916464  5.32237805]",[0.2261712]
15,[-3.03440849  2.013268   -3.08651684],"[ 2.00928038 -0.05892061  0.10512044 -0.05892061  0.48124839  0.02705654
  0.10512044  0.02705654  1.81123419]",[0.29310231],[ 5.06457125 -0.0535296  -4.97008285],"[ 1.00317729  0.04397829 -0.01554735  0.04397829  0.5227709  -0.0105102
 -0.01554735 -0.0105102   0.94299857]",[0.10110863],[ 2.96040895 -1.99542615  3.02208328],"[1.98047564 0.01186357 0.01425308 0.01186357 0.48906404 0.00908072
 0.01425308 0.00908072 1.97385205]",[0.39574634],[-4.96973044  0.05519064  4.7345893 ],"[ 1.07500336  0.05312103 -0.24936797  0.05312103  0.58173413 -0.32446004
 -0.24936797 -0.32446004  2.35981689]",[0.21004271]
16,[-3.05587573  1.99943874 -3.02765441],"[ 2.00752959e+00 -4.64175629e-02  5.85190127e-02 -4.64175629e-02
  4.85434033e-01 -3.35272981e-04  5.85190127e-02 -3.35272981e-04
  1.91671709e+00]",[0.30104052],[ 5.06451751 -0.05351484 -4.97005222],"[ 1.00331394  0.0439365  -0.01562647  0.0439365   0.52277278 -0.01048674
 -0.01562647 -0.01048674  0.94305709]",[0.10111055],[ 2.96016199 -1.99527894  3.02187881],"[1.98110878 0.01127555 0.01515307 0.01127555 0.48926012 0.00884284
 0.01515307 0.00884284 1.97385477]",[0.39577462],[-5.01447009e+00 -1.13527725e-03  4.95485680e+00],"[ 1.0118959  -0.01033022 -0.00436291 -0.01033022  0.50627789 -0.01542748
 -0.00436291 -0.01542748  1.13690614]",[0.20207432]
17,[-3.05844751  1.99748105 -3.01779975],"[ 2.00702629 -0.04479554  0.04996249 -0.04479554  0.48650328 -0.00698363
  0.04996249 -0.00698363  1.94721926]",[0.30188718],[ 5.06447586 -0.05350451 -4.97002332],"[ 1.00342009  0.04390435 -0.01569842  0.04390435  0.52277466 -0.0104679
 -0.01569842 -0.0104679   0.94311461]",[0.10111207],[ 2.95966713 -1.99509261  3.02177637],"[1.98300694 0.01045637 0.01565177 0.01045637 0.48948366 0.00875744
 0.01565177 0.00875744 1.97358682]",[0.39582013],[-5.01973952 -0.00653721  4.97436277],"[ 1.00418247 -0.01535815  0.01704836 -0.01535815  0.49976253  0.00842952
  0.01704836  0.00842952  1.05347529]",[0.20118062]
18,[-3.05865176  1.99726515 -3.01721603],"[ 2.00706    -0.04448225  0.04915296 -0.04448225  0.48677557 -0.0078291
  0.04915296 -0.0078291   1.94928704]",[0.30193132],[ 5.06447176 -0.05350372 -4.9700175 ],"[ 1.00342819  0.04390165 -0.01571164  0.04390165  0.52277491 -0.01046501
 -0.01571164 -0.01046501  0.94312714]",[0.10111226],[ 2.95952649 -1.995055    3.02177646],"[1.98362694 0.01028007 0.01565545 0.01028007 0.4895257  0.00875979
 0.01565545 0.00875979 1.97352683]",[0.39583172],[-5.02005378 -0.00661276  4.97535944],"[ 1.00368328 -0.01531854  0.01792906 -0.01531854  0.49975866  0.00878984
  0.01792906  0.00878984  1.04996492]",[0.2011247]
19,[-3.05866193  1.99725517 -3.01718945],"[ 2.00706184 -0.04446679  0.04911481 -0.04446679  0.48678869 -0.00786896
  0.04911481 -0.00786896  1.9493818 ]",[0.30193328],[ 5.06447052 -0.0535034  -4.97001684],"[ 1.00343152  0.04390072 -0.01571301  0.04390072  0.52277486 -0.01046464
 -0.01571301 -0.01046464  0.94312862]",[0.10111231],[ 2.95951034 -1.9950519   3.02177788],"[1.98370213 0.01026493 0.0156487  0.01026493 0.4895283  0.00876095
 0.0156487  0.00876095 1.9735218 ]",[0.39583298],[-5.02007771 -0.006611    4.97540873],"[ 1.00363349 -0.01530305  0.01797874 -0.01530305  0.49975433  0.00879814
  0.01797874  0.00879814  1.04980486]",[0.20112143]
20,[-3.05866242  1.99725472 -3.01718824],"[ 2.00706184 -0.04446605  0.04911309 -0.04446605  0.48678927 -0.00787077
  0.04911309 -0.00787077  1.94938608]",[0.30193337],[ 5.06447042 -0.05350337 -4.9700168 ],"[ 1.00343179  0.04390064 -0.01571311  0.04390064  0.52277484 -0.0104646
 -0.01571311 -0.0104646   0.94312873]",[0.10111231],[ 2.95950885 -1.99505165  3.02177805],"[1.98370914 0.01026367 0.01564787 0.01026367 0.48952848 0.00876107
 0.01564787 0.00876107 1.97352144]",[0.3958331],[-5.02007963 -0.00661057  4.97541134],"[ 1.00362905 -0.0153014   0.01798207 -0.0153014   0.49975376  0.00879811
  0.01798207  0.00879811  1.04979725]",[0.20112122]
21,[-3.05866244  1.9972547  -3.01718818],"[ 2.00706183 -0.04446602  0.04911301 -0.04446602  0.4867893  -0.00787085
  0.04911301 -0.00787085  1.94938628]",[0.30193337],[ 5.06447041 -0.05350337 -4.97001679],"[ 1.00343181  0.04390064 -0.01571312  0.04390064  0.52277484 -0.01046459
 -0.01571312 -0.01046459  0.94312874]",[0.10111231],[ 2.95950873 -1.99505163  3.02177806],"[1.98370974 0.01026357 0.01564779 0.01026357 0.4895285  0.00876108
 0.01564779 0.00876108 1.97352142]",[0.39583311],[-5.02007979 -0.00661052  4.97541149],"[ 1.00362868 -0.01530125  0.01798231 -0.01530125  0.49975371  0.00879808
  0.01798231  0.00879808  1.04979687]",[0.20112121]
